Employee_ID,First_Name,Last_Name,Email,Phone,Gender,Role,Salary,Hire_Date,Store_ID,Status
62,Lucky,Mammen,luckymammen90@yahoo.co.in,7375047930,Other,Sales Associate,27941.3,2026-06-26,2,Active
63,Girik,Bassi,girikbassi74@outlook.com,7839992192,Other,Inventory Executive,38443.63,2024-07-26,3,Active
64,Jack,Venkatesh,jackvenkatesh76@yahoo.co.in,7089487060,Male,Inventory Executive,39954.04,2025-09-10,4,Inactive
65,Triveni,Pradhan,trivenipradhan45@retailhub.in,9758030468,Female,Inventory Executive,34284.06,2026-04-07,5,Inactive
66,Veer,Chad,veerchad83@retailhub.in,7613325411,Male,Sales Associate,25418.09,2026-06-14,6,Active
67,Girish,Tiwari,girishtiwari52@yahoo.co.in,7173505831,Other,Cashier,32084.74,2026-06-23,7,Active
68,Kiaan,Ramesh,kiaanramesh25@retailhub.in,6065120704,Other,Cashier,29939.6,2026-02-23,8,Active
69,Baljiwan,Bhatia,baljiwanbhatia81@retailhub.in,8661963990,Male,Sales Associate,31801.17,2025-07-29,9,Inactive
70,Radhika,De,radhikade22@yahoo.co.in,6785931109,Other,Inventory Executive,37986.19,2025-10-20,10,Active
71,Jagat,Manne,jagatmanne91@yahoo.co.in,8679723200,Male,Inventory Executive,29787.53,2026-03-27,11,Inactive
72,Advika,Murty,advikamurty55@yahoo.co.in,7274954508,Other,Cashier,29623.72,2026-06-19,12,Active
73,Maya,Narain,mayanarain81@retailhub.in,9533315377,Other,Sales Associate,33996.43,2026-05-27,13,Active
74,Nitara,Sethi,nitarasethi52@gmail.com,6707303379,Female,Cashier,24770.8,2025-05-22,14,Active
75,Madhavi,Kaur,madhavikaur36@outlook.com,7050150812,Female,Inventory Executive,32068.07,2024-10-21,15,Active
76,Baljiwan,Jain,baljiwanjain35@gmail.com,8234258323,Male,Sales Associate,25322.38,2025-06-07,1,Active
77,Laban,Chopra,labanchopra27@outlook.com,6534735528,Other,Sales Associate,39656.53,2026-06-27,2,Active
78,Faras,Cherian,farascherian34@gmail.com,9559630993,Male,Sales Associate,37816.53,2025-01-13,3,Active
79,Fitan,Sengupta,fitansengupta90@yahoo.co.in,7897317912,Male,Sales Associate,32629.21,2026-04-17,4,Active
80,Vidhi,Murthy,vidhimurthy32@yahoo.co.in,8877749690,Female,Sales Associate,28107.99,2026-05-02,5,Inactive
